OrderID	CustomerID	ProductID	OrderDate	QuantityOrdered
1	1	68	2012-08-14	1
2	1	22	2012-08-14	6
3	1	66	2012-08-14	4
4	1	42	2012-08-15	6
5	1	53	2012-08-15	2
6	1	42	2012-09-16	10
7	1	49	2012-09-16	10
8	1	71	2012-09-16	5
9	1	42	2014-03-02	1
10	1	4	2014-03-02	10
11	1	72	2014-04-09	10
12	1	61	2014-04-09	4
13	1	56	2014-04-09	20
14	1	60	2014-04-09	2
15	1	15	2014-11-07	49
16	1	36	2014-11-07	28
17	1	11	2014-11-07	33
18	1	5	2014-11-07	4
19	1	43	2014-11-07	20
20	1	21	2014-11-07	1
21	1	30	2014-11-07	50
22	1	66	2014-11-07	14
23	1	9	2015-12-13	24
24	1	53	2015-12-13	8
25	1	48	2015-12-13	4
26	1	71	2015-12-13	43
27	1	19	2015-12-13	43
28	1	17	2015-12-13	14
29	1	37	2015-12-13	15
30	1	52	2015-12-13	13
31	1	36	2015-12-13	36
32	1	70	2015-12-13	43
33	1	11	2013-04-08	34
34	1	1	2013-04-08	2
35	1	4	2013-04-08	33
36	1	25	2013-04-08	49
37	1	21	2013-04-08	41
38	1	38	2013-04-08	10
39	1	23	2013-04-08	20
40	1	41	2013-04-08	2
41	1	70	2013-04-08	33
42	1	29	2013-04-08	50
43	1	53	2013-04-08	43
44	1	74	2013-04-08	47
45	1	66	2013-04-08	4
46	1	35	2013-04-08	6
47	1	76	2013-04-08	47
48	1	73	2013-04-08	17
49	1	12	2013-04-08	42
50	1	36	2013-04-08	35
51	1	47	2013-04-08	5
52	1	43	2013-04-08	6
53	1	51	2013-04-08	21
54	1	60	2013-04-08	5
55	1	48	2013-04-08	12
56	1	45	2013-04-08	6
57	1	69	2013-04-08	33
58	1	63	2013-04-08	9
59	1	31	2013-04-08	27
60	1	28	2013-04-08	15
61	1	8	2013-04-08	33
62	1	10	2013-04-08	3
63	1	57	2013-04-08	15
64	1	18	2013-04-08	28
65	1	37	2013-04-08	3
66	1	22	2013-04-08	26
67	1	3	2013-04-08	19
68	1	50	2013-04-08	35
69	1	34	2013-04-08	11
70	1	68	2013-04-08	22
71	1	52	2013-04-08	49
72	1	54	2013-04-08	36
73	1	24	2013-04-08	18
74	1	19	2013-04-08	2
75	1	13	2013-04-08	34
76	1	56	2013-04-08	18
77	1	49	2013-04-08	17
78	1	42	2013-04-08	43
79	1	75	2013-04-08	41
80	1	9	2013-04-08	41
81	1	64	2013-04-08	26
82	1	44	2013-04-08	1
83	1	27	2013-04-08	24
84	1	40	2013-04-08	3
85	1	14	2013-04-08	26
86	1	33	2013-04-08	43
87	1	77	2013-04-08	40
88	1	6	2013-04-08	23
89	1	72	2013-04-08	11
90	1	16	2013-04-08	18
91	1	61	2013-04-08	9
92	1	67	2013-04-08	33
93	1	17	2013-04-08	40
94	1	32	2013-04-08	42
95	1	26	2013-04-08	29
96	1	46	2013-04-08	44
97	1	59	2013-04-08	17
98	1	7	2013-04-08	23
99	1	15	2013-04-08	21
100	1	71	2013-04-08	4
101	1	62	2013-04-08	2
102	1	12	2014-06-21	48
103	1	50	2014-06-21	35
104	1	53	2014-06-21	15
105	1	44	2014-06-21	3
106	1	43	2014-06-21	25
107	1	2	2014-06-21	38
108	1	21	2014-06-21	39
109	1	61	2014-06-21	37
110	1	28	2013-11-28	20
111	1	58	2013-11-28	29
112	1	69	2013-11-28	5
113	1	67	2013-11-28	3
114	1	41	2013-11-28	1
115	1	5	2013-11-28	49
116	1	17	2013-11-28	50
117	1	74	2013-11-28	14
118	1	8	2013-11-28	35
119	1	3	2013-11-28	29
120	1	43	2013-11-28	15
121	1	65	2013-11-28	18
122	1	47	2013-11-28	9
123	1	55	2013-11-28	38
124	1	4	2015-06-16	42
125	1	71	2015-06-16	10
126	1	7	2015-06-16	17
127	1	65	2015-06-16	48
128	1	11	2015-06-16	33
129	1	42	2015-06-16	11
130	1	74	2015-06-16	12
131	1	37	2015-06-16	23
132	1	36	2015-06-16	4
133	1	35	2015-06-16	1
134	1	51	2015-06-16	23
135	1	40	2015-06-16	50
136	1	55	2015-06-16	29
137	1	67	2015-06-16	43
138	1	17	2015-06-16	44
139	1	1	2015-06-16	35
140	1	24	2015-06-16	35
141	1	3	2015-06-16	43
142	1	34	2015-06-16	16
143	1	13	2015-06-16	39
144	1	14	2015-06-16	2
145	1	22	2015-06-16	9
146	1	53	2015-06-16	14
147	1	25	2015-06-16	34
148	1	10	2015-06-16	35
149	1	75	2015-06-16	43
150	1	29	2015-06-16	29
151	1	50	2015-06-16	13
152	1	21	2015-06-16	19
153	1	57	2015-06-16	44
154	1	43	2015-06-16	16
155	1	73	2015-06-16	9
156	1	76	2015-06-16	41
157	1	16	2015-06-16	9
158	1	18	2015-06-16	2
159	1	62	2015-06-16	42
160	1	5	2015-06-16	12
161	1	56	2015-06-16	21
162	1	61	2015-06-16	42
163	1	41	2015-06-16	39
164	1	2	2015-06-16	36
165	1	6	2015-06-16	44
166	1	58	2015-06-16	9
167	1	49	2015-06-16	27
168	1	66	2015-06-16	4
169	1	46	2015-06-16	34
170	1	23	2015-06-16	9
171	1	30	2015-06-16	37
172	1	38	2015-06-16	38
173	1	39	2015-06-16	3
174	1	9	2015-06-16	18
175	1	15	2015-06-16	36
176	1	31	2015-06-16	14
177	1	69	2015-06-16	13
178	1	77	2015-06-16	18
179	1	44	2015-06-16	36
180	1	63	2015-06-16	35
181	1	6	2014-05-09	43
182	1	36	2014-05-09	17
183	1	58	2014-05-09	39
184	1	59	2014-05-09	33
185	1	48	2014-05-09	4
186	1	19	2014-05-09	24
187	1	53	2014-05-09	47
